,Best Kappa,Epoch
densenet-001,0.7709486405796709,22
densenet-002,0.153095212466961,6
densenet-003,0.741723329392027,23
densenet-004,0.766839876352009,28
densenet-005,0.762,28
densenet-006,0.7599,16
densenet-007,0.775,25
densenet-008,0.7654,12
densenet-009,0.7556,15
densenet-010,0.1681,2
densenet-011,0.3224,9
densenet-012,0.7262,23
densenet-013,0.6982,27
densenet-014,0.777596694243083,17
densenet-014_r07,0.7693851661388628,27
densenet-014_r03,0.7617269720459412,27
densenet-014_r08,0.7460770298386126,11
densenet-014_r04,0.7633086221019174,27
densenet-014_r09,0.7652651132534867,14
densenet-014_r00,0.7714974752832499,14
densenet-014_r05,0.7629678839931404,26
densenet-014_r01,0.7700454331523808,17
densenet-014_r06,0.7535466627066013,12
densenet-014_r02,0.7495087449868819,12
densenet-015,0.760296392913295,24
densenet-016,0.3965476407692463,5
densenet-017,0.7649126507475901,21
densenet-018,0.7658118213796955,16
densenet-019,0.7643665867709889,19
densenet-020,0.2920691949954538,18
densenet-021,0.1726974453841521,4
densenet-022,0.7506937772559583,25
densenet-023,0.7735801959189832,28
densenet-024,0.7516054091275337,28
densenet-025,0.7507512633701314,29
densenet-026,0.7509734868185689,28
